Audio_Song,Lyric_Song,Arousal,Valence,Quadrant,Emotion,EnhancedEmotion,lyric_id,word_count,unique_word_count,lexical_diversity,avg_word_length,line_count,avg_words_per_line,positive_word_ratio,negative_word_ratio,sentiment_ratio,top_word_1,top_word_1_count,top_word_2,top_word_2_count,top_word_3,top_word_3_count,top_word_4,top_word_4_count,top_word_5,top_word_5_count,repetition_ratio,repeated_words_count,repeated_phrases_count,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,chroma_1_mean,chroma_1_std,chroma_2_mean,chroma_2_std,chroma_3_mean,chroma_3_std,chroma_4_mean,chroma_4_std,chroma_5_mean,chroma_5_std,chroma_6_mean,chroma_6_std,chroma_7_mean,chroma_7_std,chroma_8_mean,chroma_8_std,chroma_9_mean,chroma_9_std,chroma_10_mean,chroma_10_std,chroma_11_mean,chroma_11_std,chroma_12_mean,chroma_12_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,rolloff_mean,flatness_mean,contrast_mean,zcr_mean,tempo,rms_mean,rms_std,beat_strength,low_energy_ratio,energy_entropy,brightness,warmth,activity,harmonic_energy_ratio,harmonicity
A050,L100,0.85,0.83125,Q1,Excitement,Happy,L100,339,131,0.3864306784660767,3.663716814159292,57,5.947368421052632,0.0088495575221238,0.0117994100294985,0.6,that,12,ll,11,there,10,lucky,6,deal,6,0.6135693215339233,60,11,-72.22133,70.38157,92.125046,23.13816,11.427565,21.287169,28.03527,15.569911,10.456829,12.695676,7.534039,11.40605,6.2847724,11.459707,4.1763067,11.0180235,2.5146925,9.580787,7.4637933,9.789248,-0.3532797,8.2307,5.4739966,7.5304465,-3.659009,8.013169,0.3934749,0.27577487,0.451792,0.33227322,0.3064754,0.23608373,0.34220058,0.28649238,0.38371694,0.31148827,0.2781355,0.23368211,0.32696745,0.30122575,0.35157275,0.2647349,0.47972682,0.32868567,0.44274783,0.33160827,0.38546428,0.27924106,0.38397434,0.30389634,2263.8976540840085,749.2619381432204,2640.593409764529,5125.377340877757,0.01308835,22.7125734186936,0.0776333174100232,[107.66601562],0.227533,0.08874544,1.6708839,0.5879195,10.207022,0.16184416,0.2776144,[0.20414643],0.54342145,3.1398113
A064-116,L114-116,0.89375,0.90625,Q1,Excitement,Cheerful,L114-116,460,110,0.2391304347826087,3.8239130434782607,65,7.076923076923077,0.0130434782608695,0.0,6.0,all,82,night,80,long,18,come,9,play,9,0.7608695652173914,60,13,-138.17021,73.00942,124.50497,23.33469,11.297461,24.399008,30.291275,16.307384,-13.950267,13.472867,29.187605,10.461311,-13.413978,11.280967,18.977207,9.273665,-9.721339,9.784597,10.399065,8.835077,-9.155696,8.642388,6.2861843,8.239115,-5.095982,8.294908,0.40666997,0.29653326,0.5317901,0.35197827,0.37791142,0.24077453,0.4424628,0.34754384,0.31279945,0.22473593,0.31410125,0.27904272,0.32074824,0.2741972,0.32595283,0.24423721,0.4392487,0.33552173,0.32278073,0.22503231,0.41246355,0.31934208,0.27656686,0.20563906,1709.394920119532,535.1345713082436,2132.615596774297,3900.6764131433824,0.0019143871,22.840893345493345,0.0677565819707817,[107.66601562],0.13217142,0.07036975,1.6451238,0.67760897,10.142553,0.11041444,0.26086703,[0.11858642],0.37493277,1.1675595
A077-122,L127-122,0.9125,0.89375,Q1,Excitement,Happy,L127-122,243,50,0.205761316872428,4.242798353909465,42,5.785714285714286,0.0699588477366255,0.0,17.0,celebrate,24,good,17,come,13,let,12,times,11,0.7942386831275721,27,6,-67.15815,57.20625,102.82195,20.119362,-35.353516,18.66266,59.428413,13.546549,-26.26123,13.257156,42.816887,11.9017315,-19.96001,12.018369,30.100191,8.843885,-12.9270315,8.421361,19.320765,7.6671057,-3.9562678,7.5008187,5.297453,7.532469,8.576077,8.849649,0.4521744,0.30438572,0.4086616,0.26483968,0.4561684,0.3083109,0.38077667,0.28513816,0.3406803,0.24499874,0.42700827,0.28743884,0.34751385,0.23212141,0.43109939,0.28380713,0.4506057,0.29105213,0.49755967,0.26785538,0.6409727,0.3170192,0.43663394,0.24433029,2401.931297432121,607.7657065709961,2262.8832459286223,5202.857339458101,0.0010769356,25.186305800878586,0.1203710470989251,[123.046875],0.22101247,0.08277684,1.4034472,0.5092987,10.181697,0.14793712,0.37506005,[0.22662412],0.63380855,4.2683387
A086-123,L136-123,0.8687499999999999,0.86875,Q1,Excitement,Celebratory,L136-123,480,125,0.2604166666666667,3.4833333333333334,67,7.164179104477612,0.0020833333333333,0.0,1.0,da,108,dance,17,everybody,15,sweat,15,now,13,0.7395833333333334,53,11,-99.1023,77.96186,35.2082,28.108927,26.091797,30.05592,19.713335,17.232874,6.732109,14.740518,23.606718,13.061619,5.934068,11.761684,17.87204,11.099562,-1.5716022,9.815846,2.3390117,9.568541,2.6773674,7.9638734,7.4249535,7.5095134,4.9747615,7.9749374,0.43290994,0.2857571,0.40920514,0.24535137,0.6199257,0.3255695,0.44628188,0.2439265,0.52801067,0.2580202,0.48257145,0.29520592,0.43938476,0.2730372,0.46159023,0.28516522,0.54011106,0.2907237,0.60983646,0.28021246,0.58833337,0.33044794,0.5009772,0.29354987,3828.178950790689,908.6270586406384,3099.9383852870387,7573.645869866244,0.059937704,20.10134747520021,0.1907728449109907,[112.34714674],0.12762709,0.050177217,2.1079738,0.37115607,10.214476,0.31073815,0.28196388,[0.11948783],0.2921037,0.7093267
A092-96,L142-96,0.81875,0.825,Q1,Excitement,Playful,L142-96,369,97,0.2628726287262872,3.5013550135501355,39,9.461538461538462,0.1002710027100271,0.0,37.0,fun,37,now,25,daddy,15,bird,14,away,14,0.7371273712737128,40,7,-178.423,60.11783,122.94519,19.094046,-56.29172,21.901371,62.84761,14.763843,-1.6909927,14.767533,23.681007,13.710823,-8.249143,12.256782,16.679081,11.210262,-4.516937,11.180784,4.111115,10.22615,-4.7249255,8.815444,-4.369155,8.794765,0.076055735,8.314683,0.31288758,0.29221603,0.26350576,0.24501449,0.34203476,0.28079173,0.34131685,0.294918,0.2870044,0.24390204,0.32834005,0.28672642,0.29400218,0.23976935,0.39167917,0.32687148,0.40314376,0.3317161,0.40318412,0.30359498,0.5686105,0.35668582,0.3511751,0.24784993,1817.365975402814,380.7642385737208,1617.4443497011498,3436.716376680777,0.0009264208,25.21677001363983,0.1101936005976095,[151.99908088],0.09242803,0.054960266,1.5072535,0.5141681,10.051112,0.04492994,0.52988255,[0.11707479],0.5407822,2.6439853
A094-110,L144-110,0.8625,0.88125,Q1,Excitement,Exuberant,L144-110,235,105,0.4468085106382978,3.927659574468085,29,8.10344827586207,0.0936170212765957,0.0,22.0,good,19,times,19,these,12,let,4,leave,3,0.5531914893617021,36,3,-174.81105,77.90232,76.94526,28.587627,-7.4856524,24.47366,41.74908,17.89306,15.368498,13.674019,7.766688,11.246218,-4.793342,11.757702,5.0435343,9.240275,-0.67923385,8.638437,1.8084141,8.354075,-5.5399575,7.1689506,1.213371,7.142739,-5.9871535,6.4517345,0.33857208,0.20805238,0.37957236,0.26325253,0.47873902,0.30930808,0.47711527,0.25505978,0.59065783,0.32401478,0.4642138,0.2678628,0.42272237,0.30769685,0.42301705,0.2744693,0.39871174,0.24777427,0.47495767,0.3178608,0.3960922,0.22667202,0.47647032,0.32315522,2515.941736497668,824.2879369792462,2450.045737185439,5142.718902682373,0.03141297,22.452517294565958,0.1327637474603328,[112.34714674],0.06646866,0.042728767,1.8970702,0.45836315,10.050318,0.16462904,0.38869894,[0.06222971],0.13626987,0.214859
A095-113,L145-113,0.975,0.9875,Q1,Excitement,Excitement/Happiness,L145-113,515,83,0.1611650485436893,3.570873786407767,71,7.253521126760563,0.062135922330097,0.0019417475728155,16.0,happy,29,because,24,clap,24,along,24,if,24,0.8388349514563107,38,8,-77.011475,62.161842,83.88707,28.184616,38.08363,22.39001,20.201172,15.789222,14.223096,15.24219,3.8400123,10.312166,-6.590651,12.433586,6.8638163,9.726757,-1.363662,10.7713995,-5.495334,10.026337,-9.757419,7.88906,4.6005673,7.2428904,-7.1465125,6.606423,0.47031245,0.31446454,0.32188556,0.24496529,0.3033798,0.26315373,0.39824745,0.3334063,0.3760915,0.25940055,0.48300737,0.37009794,0.30758464,0.24241555,0.37914857,0.3114815,0.35956275,0.306676,0.3217514,0.25561813,0.42161602,0.32682407,0.33381522,0.23088047,2602.5856278349866,869.7316581736626,2986.829998539225,6390.494690886223,0.023288794,22.176600107026253,0.0972764337025928,[161.49902344],0.19803119,0.05751641,1.6171267,0.5776237,10.270568,0.22112422,0.20662107,[0.26651536],0.41756624,1.5260768
A100-124,L150-124,0.875,0.89375,Q1,Excitement,Happy,L150-124,203,39,0.1921182266009852,2.995073891625616,26,7.8076923076923075,0.1280788177339901,0.0,26.0,so,14,good,12,nice,12,feel,10,got,7,0.8078817733990148,30,6,-88.066925,56.03408,89.182434,21.848593,-42.833153,18.650595,77.28375,15.187738,-34.081135,13.820852,46.076538,12.889306,-35.442856,13.17031,29.842602,8.810222,-22.219597,9.121849,9.95565,9.477249,-8.880378,10.2926855,-0.15043806,8.048382,-0.65634584,8.195041,0.4496665,0.2871657,0.49614537,0.28306192,0.53637373,0.31139264,0.43998504,0.24327336,0.39678827,0.22889353,0.4247348,0.26565164,0.4628983,0.25996798,0.4981741,0.28750938,0.4990115,0.27573824,0.55463743,0.30647716,0.4430014,0.27049565,0.40108764,0.24449241,3001.748712322554,534.7392006916734,2297.121387052826,5835.515191145004,0.0014146365,24.177245223561208,0.2110191393809713,[172.265625],0.12485808,0.042152595,1.2834865,0.36456636,10.1993065,0.19419496,0.40267736,[0.17923963],0.32834607,0.9706226
A101-111,L151-111,0.7749999999999999,0.95625,Q1,Excitement,Excitement/Happiness,L151-111,127,15,0.1181102362204724,2.763779527559055,25,5.08,0.2125984251968504,0.0,27.0,love,22,feel,17,ooh,6,so,5,good,5,0.8818897637795275,15,3,-137.51735,64.22889,97.30942,19.765516,-0.99628955,18.391783,23.679571,10.99146,-1.6107601,7.8362665,6.3539605,10.304045,-4.1484017,8.893497,5.0701585,7.538028,-3.9695616,7.793454,8.321466,9.538334,0.03764637,10.0300255,2.5912268,9.22534,0.8651671,7.887978,0.30337554,0.30596903,0.27824792,0.25059542,0.3955098,0.31909052,0.39022246,0.33502012,0.30885723,0.2592256,0.4229096,0.37381893,0.35152602,0.2774723,0.42553303,0.36005566,0.26278436,0.25931293,0.21652989,0.2370132,0.24588552,0.28246248,0.26028815,0.258576,2153.514787777286,470.7886516878261,2412.6431725879984,4708.717795684407,0.015447017,22.249170642886934,0.0835728072221131,[135.99917763],0.10405071,0.05193307,1.7174953,0.5853579,10.124643,0.13890149,0.31319886,[0.11792343],0.43134865,1.3253607
A102-114,L152-114,0.8875,0.825,Q1,Excitement,Cheerful,L152-114,354,90,0.2542372881355932,4.019774011299435,58,6.103448275862069,0.0112994350282485,0.0084745762711864,1.0,somebody,31,wanna,29,dance,24,who,11,loves,9,0.7457627118644068,46,11,-96.467545,85.6109,43.541084,21.833406,15.392185,19.616323,18.510817,16.191645,-7.597527,11.815401,5.6209855,13.692522,-3.861814,9.372364,4.7526474,9.933962,-2.227674,8.554712,6.7820835,8.507508,-4.1653757,8.456135,-2.666127,8.049262,-8.07379,7.479935,0.34890136,0.23614492,0.5367627,0.32489917,0.3624095,0.24531415,0.35613915,0.2875578,0.30431902,0.25088158,0.45303446,0.29939696,0.52598923,0.3324197,0.32577077,0.22490019,0.45231992,0.33606327,0.3418781,0.22157833,0.47232506,0.3358433,0.27476937,0.22181413,3696.552299873863,723.4640911260816,3004.232040381048,7356.332640939679,0.06718413,22.72267339402496,0.2178362219209914,[117.45383523],0.09845409,0.04837577,1.4475908,0.35682446,10.140068,0.31056583,0.29888815,[0.09636509],0.40470663,1.4777683
A104-119,L154-119,0.925,0.91875,Q1,Excitement,Exuberant,L154-119,321,121,0.3769470404984423,4.0,49,6.551020408163265,0.0093457943925233,0.0062305295950155,1.0,raining,16,men,16,hallelujah,7,every,5,first,4,0.6230529595015576,72,12,3.5691967,19.491743,84.80008,14.802079,-10.628284,15.453154,16.771654,11.310798,2.1481977,9.808596,4.0448585,7.9531326,1.9678737,7.0416875,2.6105235,6.4602256,-1.1957282,8.911774,2.8159397,5.7354274,-4.2449455,6.381009,1.6072696,6.075261,-2.1757348,5.5420094,0.55525404,0.29034558,0.44693476,0.26618862,0.41867736,0.28388825,0.41009477,0.29778183,0.37530556,0.22942077,0.54949313,0.32660374,0.36901614,0.1973873,0.37912095,0.2597645,0.40794572,0.28583002,0.39241564,0.25205216,0.44500914,0.3112495,0.43133333,0.24273558,2654.195128447843,475.48015768853867,2638.028840418983,5632.173283192335,0.041048106,20.162014069648663,0.1344222480514996,[135.99917763],0.20097879,0.024643924,1.1613561,0.49080116,10.295898,0.16390266,0.3930541,[0.22777458],0.47737226,2.9104006
A105-117,L155-117,0.76875,0.7625,Q1,Excitement,Playful,L155-117,294,97,0.3299319727891156,3.1802721088435373,52,5.653846153846154,0.010204081632653,0.0,3.0,don,9,just,7,rule,5,world,5,gotta,5,0.6700680272108843,48,7,-184.39725,138.63664,46.476974,35.494457,1.695599,28.316422,18.989626,19.475328,-0.26875743,18.968494,7.5287805,13.336853,1.1679748,11.865157,1.1527307,12.54133,-4.4283648,12.253062,3.1303272,9.454374,-3.560765,10.676163,0.8925429,9.274267,-0.7584545,12.12899,0.4922297,0.32909298,0.4130114,0.31427526,0.37989643,0.31283823,0.37499565,0.29873642,0.3790501,0.29693317,0.3400808,0.27390182,0.41986674,0.310785,0.45709124,0.32113627,0.50976324,0.33184388,0.5546093,0.35252172,0.5168846,0.29846817,0.58191293,0.32930785,3215.336326314304,1082.0940802280752,2799.5384431799034,6561.143658995259,0.05994352,21.70908816262201,0.1608486116486068,[112.34714674],0.08961155,0.072707705,2.456182,0.40695933,9.865618,0.24029388,0.34632182,[0.08389669],0.1087365,0.15837295
A107-115,L157-115,0.88125,0.825,Q1,Excitement,Celebratory,L157-115,182,65,0.3571428571428571,3.67032967032967,35,5.2,0.0109890109890109,0.0109890109890109,0.6666666666666666,dance,11,let,10,if,6,sway,5,say,4,0.6428571428571429,45,9,-103.73999,67.32939,68.075584,33.12262,-3.7453744,27.013565,24.745972,19.605478,0.19406156,14.730007,15.450658,11.269947,-0.6343239,10.859929,7.124616,10.266061,-2.975555,10.084011,2.2635958,8.274598,4.4457335,9.389197,6.817188,8.236009,-0.12630613,8.588719,0.3883675,0.2770037,0.45828778,0.30830744,0.444831,0.23937313,0.55030656,0.28860736,0.47748667,0.28066579,0.48275426,0.3119376,0.37916502,0.24206546,0.41399622,0.251313,0.48859918,0.3160343,0.43460318,0.27322635,0.49996594,0.3259353,0.3757687,0.26128155,2994.191000546876,928.703631894902,2669.8747419859405,6131.879588029702,0.053206105,21.859009633568498,0.1556249092976006,[117.45383523],0.09547145,0.03639068,1.5084186,0.430671,10.218147,0.24087068,0.33756244,[0.09344573],0.34804064,0.9367172
